epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.005,2.8169,4.6485,2.34461,0.17785,0.13992,0.09274,0.02987,2.41526,3.63667,2.01638,0.000471663,0.000471663,0.000471663
2,44.5554,2.44227,3.37116,2.08637,0.75486,0.26805,0.32246,0.11407,2.38568,2.81203,2.09608,0.000854145,0.000854145,0.000854145
3,60.2918,2.36916,2.86512,2.05196,0.63259,0.38717,0.33191,0.11583,2.36091,2.96899,2.08213,0.00114231,0.00114231,0.00114231
4,75.8455,2.32512,2.58888,2.03538,0.7573,0.37474,0.39306,0.14585,2.20576,2.50216,1.96563,0.00100459,0.00100459,0.00100459
5,91.3072,2.28295,2.42162,1.99821,0.752,0.40659,0.45886,0.17232,2.21046,2.22172,2.0477,0.000863116,0.000863116,0.000863116
6,107.033,2.22749,2.23423,1.97343,0.56099,0.457,0.50583,0.20791,2.12756,2.10659,1.96152,0.000721645,0.000721645,0.000721645
7,123.099,2.18143,2.1398,1.93779,0.82969,0.4378,0.5215,0.21568,2.09247,2.09478,1.91487,0.000580174,0.000580174,0.000580174
8,139.052,2.15663,2.06126,1.90349,0.63077,0.5266,0.59052,0.24489,2.09276,1.9331,1.90934,0.000438703,0.000438703,0.000438703
9,155.037,2.09409,1.96169,1.86432,0.6257,0.5183,0.60573,0.24959,2.06457,1.88636,1.87006,0.000297232,0.000297232,0.000297232
10,171.288,2.07386,1.87558,1.83893,0.64508,0.54094,0.63591,0.26727,2.04936,1.78662,1.8421,0.000155761,0.000155761,0.000155761
